"time","dev_id","power","freq","temp","rated_freq"
"2024-05-07 12:37:41","1","69.5","1000","38","1000"
"2024-05-07 12:37:51","1","69.2","1000","38","1000"
"2024-05-07 12:38:02","1","69.1","1000","38","1000"
"2024-05-07 12:38:12","1","69.0","1000","38","1000"
"2024-05-07 12:38:23","1","68.7","1000","38","1000"
"2024-05-07 12:38:33","1","69.2","1000","38","1000"
"2024-05-07 12:38:44","1","70.9","1000","38","1000"
