time,dev_id,power,freq,temp,rated_freq
1714998478,0,71.6,1000,38,1000
1714998489,0,70.7,1000,38,1000
1714998499,0,71.4,1000,38,1000
1714998510,0,70.9,1000,39,1000
1714998520,0,71.5,1000,39,1000
1714998530,0,71.1,1000,39,1000
1714998541,0,71.2,1000,39,1000
1714998552,0,71.1,1000,39,1000
1714998562,0,71.3,1000,39,1000
1714998573,0,71.1,1000,39,1000
1714998583,0,161.6,1000,43,1000
1714998594,0,74.3,1000,41,1000
1714998604,0,169.5,1000,40,1000
1714998615,0,71.7,1000,41,1000
1714998625,0,164.0,1000,40,1000
1714998635,0,165.6,1000,40,1000
1714998646,0,161.1,1000,40,1000
1714998656,0,71.5,1000,41,1000
1714998667,0,73.9,1000,42,1000
1714998677,0,166.5,1000,41,1000
1714998688,0,166.4,1000,41,1000
1714998698,0,168.7,1000,42,1000
1714998709,0,74.3,1000,42,1000
1714998719,0,131.9,1000,42,1000
1714998730,0,161.6,1000,42,1000
1714998740,0,71.9,1000,42,1000
1714998751,0,74.3,1000,42,1000
1714998761,0,166.7,1000,41,1000
1714998771,0,74.1,1000,40,1000
1714998782,0,71.9,1000,41,1000
1714998792,0,82.4,1000,40,1000
1714998803,0,158.9,1000,40,1000
1714998813,0,170.3,1000,40,1000
1714998824,0,167.0,1000,40,1000
1714998834,0,168.5,1000,41,1000
1714998845,0,74.3,1000,41,1000
1714998855,0,74.3,1000,41,1000
1714998866,0,161.9,1000,41,1000
1714998876,0,118.3,1000,42,1000
1714998887,0,149.0,1000,42,1000
1714998897,0,169.2,1000,42,1000
1714998908,0,156.3,1000,41,1000
1714998918,0,116.2,1000,42,1000
1714998929,0,99.1,1000,40,1000
1714998939,0,112.8,1000,41,1000
1714998949,0,71.5,1000,41,1000
1714998960,0,132.7,1000,41,1000
1714998970,0,168.1,1000,40,1000
1714998981,0,74.3,1000,41,1000
1714998991,0,74.2,1000,40,1000
1714999002,0,164.8,1000,40,1000
1714999012,0,168.2,1000,42,1000
1714999023,0,74.8,1000,42,1000
1714999033,0,71.9,1000,41,1000
1714999044,0,72.0,1000,41,1000
1714999054,0,157.4,1000,42,1000
1714999064,0,71.7,1000,42,1000
1714999075,0,74.5,1000,41,1000
1714999085,0,145.3,1000,41,1000
1714999096,0,166.9,1000,41,1000
1714999106,0,110.7,1000,40,1000
1714999117,0,86.5,1000,40,1000
1714999127,0,108.4,1000,41,1000
1714999138,0,71.5,1000,40,1000
1714999148,0,162.2,1000,40,1000
1714999159,0,71.5,1000,41,1000
1714999169,0,74.3,1000,41,1000
1714999179,0,167.6,1000,42,1000
1714999190,0,107.4,1000,42,1000
1714999200,0,74.2,1000,42,1000
1714999211,0,167.7,1000,41,1000
1714999221,0,74.9,1000,41,1000
1714999232,0,170.4,1000,42,1000
1714999242,0,126.7,1000,41,1000
1714999253,0,165.9,1000,40,1000
1714999263,0,129.3,1000,40,1000
1714999274,0,159.8,1000,41,1000
1714999284,0,162.8,1000,40,1000
1714999295,0,73.8,1000,41,1000
1714999305,0,149.4,1000,41,1000
1714999315,0,71.5,1000,41,1000
1714999326,0,125.4,1000,41,1000
1714999336,0,166.4,1000,41,1000
1714999347,0,125.7,1000,42,1000
1714999357,0,167.4,1000,41,1000
1714999368,0,140.2,1000,41,1000
1714999378,0,160.3,1000,43,1000
1714999389,0,166.8,1000,42,1000
1714999399,0,165.2,1000,42,1000
1714999410,0,74.2,1000,42,1000
1714999420,0,71.7,1000,41,1000
1714999431,0,73.9,1000,41,1000
1714999441,0,138.8,1000,40,1000
1714999451,0,73.6,1000,41,1000
1714999462,0,81.9,1000,41,1000
1714999472,0,74.2,1000,40,1000
1714999483,0,168.1,1000,40,1000
1714999493,0,119.6,1000,41,1000
1714999504,0,92.4,1000,41,1000
1714999514,0,155.9,1000,42,1000
1714999525,0,165.8,1000,42,1000
1714999535,0,73.7,1000,42,1000
1714999546,0,74.5,1000,42,1000
1714999556,0,168.9,1000,42,1000
1714999567,0,166.5,1000,41,1000
1714999577,0,76.2,1000,42,1000
1714999587,0,165.5,1000,41,1000
1714999598,0,73.2,1000,41,1000
1714999608,0,161.4,1000,41,1000
1714999619,0,74.4,1000,41,1000
1714999629,0,151.4,1000,41,1000
1714999640,0,145.6,1000,40,1000
1714999650,0,71.4,1000,41,1000
1714999661,0,74.2,1000,40,1000
